"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Area total","num Area rptg","over votes","under votes"
217,"HOUSE OF DELEGATES, 93rd District (Vote For 1)","Z. LANSDOWNE","DEM",1356,36.62,0,3822,1,1,"0","0"
218,"HOUSE OF DELEGATES, 94th District (Vote For 1)","LARRY D. KUMP","REP",3123,100.00,0,3986,1,1,"0","0"
219,"HOUSE OF DELEGATES, 95th District (Vote For 1)","CHARLES ""CHUCK"" HORST, SR.","REP",2689,69.84,0,3947,1,1,"0","0"
220,"HOUSE OF DELEGATES, 95th District (Vote For 1)","DEBI CARROLL","DEM",1161,30.16,0,3947,1,1,"0","0"
221,"HOUSE OF DELEGATES, 96th District (Vote For 1)","ERIC L. HOUSEHOLDER","REP",2766,70.87,0,3979,1,1,"0","0"
222,"HOUSE OF DELEGATES, 96th District (Vote For 1)","RONALD WENGER","DEM",1137,29.13,0,3979,1,1,"0","0"
223,"HOUSE OF DELEGATES, 97th District (Vote For 1)","JOHN HARDY","REP",2973,58.09,0,5231,2,2,"0","0"
224,"HOUSE OF DELEGATES, 97th District (Vote For 1)","PHILIP WENNER","DEM",2145,41.91,0,5231,2,2,"0","0"
225,"HOUSE OF DELEGATES, 98th District (Vote For 1)","PAUL ESPINOSA","REP",3681,100.00,0,4781,1,1,"0","0"
226,"HOUSE OF DELEGATES, 99th District (Vote For 1)","WAYNE CLARK","REP",2958,56.63,0,5295,1,1,"0","0"
227,"HOUSE OF DELEGATES, 99th District (Vote For 1)","DEBRA CORNWELL","DEM",2265,43.37,0,5295,1,1,"0","0"
228,"HOUSE OF DELEGATES, 100th District (Vote For 1)","WILLIAM ""BILL"" RIDENOUR","REP",3390,54.76,0,6258,1,1,"0","0"
229,"HOUSE OF DELEGATES, 100th District (Vote For 1)","SUSAN BENZINGER","DEM",2801,45.24,0,6258,1,1,"0","0"
