TOTAL VOTER TURNOUT: 97,057,730
ElectionDate	OfficeCode(text)	DistrictCode(Text)	StatusCode	CountyCode	CountyName	OfficeDescription	PartyOrder	PartyDescription	CandidateID	CandidateLastName	CandidateFirstName	CandidateMiddleName	CandidateFormerName	CandidateVotes	WriteIn(W)/Uncommitted(Z)	Recount(*)	Nomindated(N)/Elected(E)
2024-11-05	12	0	0	70	OTTAWA	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	1	DEMOCRATIC	466905	RYDER DIGGS	SHAUNA			56021			
2024-11-05	12	0	0	70	OTTAWA	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	999	WRITE-IN	481372	ARRAF	HUWAIDA			40	Y		
2024-11-05	12	0	0	71	PRESQUE ISLE	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	3	LIBERTARIAN	376156	CHADDERDON	ANDREW			272			
2024-11-05	12	0	0	71	PRESQUE ISLE	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	4	U.S. TAXPAYERS	466408	OETMAN	DONNA	M.		300			
2024-11-05	12	0	0	71	PRESQUE ISLE	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	2	REPUBLICAN	466894	MEYERS	CARL			5026			
2024-11-05	12	0	0	71	PRESQUE ISLE	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	1	DEMOCRATIC	466895	ILITCH	DENISE			2698			
2024-11-05	12	0	0	71	PRESQUE ISLE	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	2	REPUBLICAN	466904	VARTANIAN	SEVAG			4277			
2024-11-05	12	0	0	71	PRESQUE ISLE	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	1	DEMOCRATIC	466905	RYDER DIGGS	SHAUNA			2428			
2024-11-05	12	0	0	71	PRESQUE ISLE	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	999	WRITE-IN	481372	ARRAF	HUWAIDA			0	Y		
2024-11-05	12	0	0	72	ROSCOMMON	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	3	LIBERTARIAN	376156	CHADDERDON	ANDREW			396			
2024-11-05	12	0	0	72	ROSCOMMON	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	4	U.S. TAXPAYERS	466408	OETMAN	DONNA	M.		519			
2024-11-05	12	0	0	72	ROSCOMMON	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	2	REPUBLICAN	466894	MEYERS	CARL			9640			
